Community 0,Community 1,Community 2,Community 3,Community 4,Community 5,Community 6,Community 7,Community 8,Community 9,Community 10,Community 11,Community 12,Community 13,Community 14,Community 15,Community 16,Community 17,Community 18,Community 19,Community 20,Community 21,Community 22,Community 23,Community 24,Community 25,Community 26,Community 27,Community 28,Community 29,Community 30,Community 31,Community 32,Community 33,Community 34,Community 35,Community 36,Community 37,Community 38,Community 39,Community 40,Community 41,Community 42,Community 43,Community 44,Community 45,Community 46,Community 47,Community 48,Community 49,Community 50,Community 51,Community 52,Community 53,Community 54,Community 55,Community 56,Community 57
0 : Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_bifidum.1,1 : Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_longum.1,2 : Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_longum.2,4 : Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_NA.21,5 : Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_NA.7,6 : Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Adlercreutzia_equolifaciens.3,7 : Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Adlercreutzia_NA.6,8 : Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Senegalimassilia_NA.7,9 : Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Slackia_isoflavoniconvertens.1,10 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.1,13 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_clarus.1,14 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_coprocola.2,15 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_eggerthii.1,17 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_intestinalis.1,23 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.288,24 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.290,25 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.304,28 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.311,29 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.320,31 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.331,32 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.339,33 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.342,37 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.374,38 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.383,39 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.398,49 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.4,50 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_intestinihominis.2,52 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.11,53 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.23,56 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.44,57 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Coprobacter_NA.10,58 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_NA.31,59 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_virosa.2,60 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_CAG-873_NA.3,61 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.15,62 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_NA_NA_NA.4,64 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.22,66 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.34,70 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.11,71 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.18,73 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_copri.2,75 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.108,86 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_intermedia.3,90 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.28,95 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae_RC9_gut_group_NA.48,101 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.9,106 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.104,109 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.131,134 : Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto_1_NA.25,137 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.120,139 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_hadrus.1,152 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium_eligens_group_NA.13,164 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.68,170 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.1,188 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Ruminococcus_gnavus_group_NA.10,208 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.2,216 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.22,226 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_NA.13
3 : Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_NA.12,198 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Colidextribacter_NA.17,91 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.47,11 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.2,12 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_caccae.3,193 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.10,16 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_fragilis.4,165 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.83,51 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella_NA.1,40 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_nordii.1,206 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.11,18 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_massiliensis.1,103 : Bacteria_Cyanobacteria_Vampirivibrionia_Gastranaerophilales_NA_NA_NA.2,21 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.277,123 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.22,27 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.307,177 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_UCG-010_NA.16,30 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.330,35 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_NA.356,44 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_stercoris.1,43 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_salyersiae.1,46 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_uniformis.1,48 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_vulgatus.2,87 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae_NK3B31_group_NA.2,99 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.3,223 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Eubacterium_siraeum_group_NA.12,183 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.59,169 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospira_pectinoschiza.1,122 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.15,210 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-002_NA.30,72 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_7_NA.8,92 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_shahii.2,128 : Bacteria_Firmicutes_Clostridia_Clostridia_UCG-014_NA_NA_NA.79,94 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae_RC9_gut_group_NA.44,218 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.37,243 : Bacteria_Firmicutes_Clostridia_Oscillospirales_UCG-010_NA_NA.66,96 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_NA_NA.1,67 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.39,220 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.40,104 : Bacteria_Firmicutes_Bacilli_Acholeplasmatales_Acholeplasmataceae_Anaeroplasma_NA.1,74 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_copri.3,76 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_9_NA.109,97 : Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.1,195 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Eubacterium_coprostanoligenes_group_NA_NA.48,105 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.10,116 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.96,107 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.113,110 : Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae_R-7_group_NA.141,166 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium_NA.88,138 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Agathobacter_NA.91,140 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_NA.18,153 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Eubacterium_eligens_group_NA.15,186 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.20,173 : Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae_NK4A136_group_NA.48,250 : Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Peptostreptococcaceae_Romboutsia_NA.10,231 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.13,221 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.62,228 : Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_prausnitzii.3
